product_name,title,stars,body
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Overall good package. Fond of this,5.0,"If you want durable earphone, protected from sweat, water. Go for this.Build quality: Very good form factor, braided cable with waterproof coating. Eartips are comfortable and fits nicely, looks durable.Sound: Boat earphone, hence Bass rich, treble and mids could have been better (as I listen music in studio monitors, so I felt, not a big issue)Downsides: Wire seems very durable, but not too thick. Could've been thicker. Extra eartips only 2 small and 2 mediums. Couldve been provided more.Overall you can surely take this if you badly need waterproofing and durability, otherwise 225/152/162 has slightly better sound. But this has volume control keys, thats a plus point."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),After almost1 week right earplug isn't working properly and they are causing so much pain in ears,1.0,"Before these earphones, I used the basic Samsung earphones which were 5 years old.And I am writing this review after 3 days of usage,daily for 3-4 hours.Pros:  1- Crystal clear & loud sound.  5/52- Amazing bass.  5/53-Call quality is fine. 4/54- The wires are braided which make them more durable.  5/5One of the most amazing features is that you get sound control buttons in this earphones which work as a charm.Cons :1- After continuous use for 45-60 mins, they cause pain in ears.2- They are MADE IN CHINA.  I didn't know it before.Edit: After daily usage of almost 1 week, the right earplug is not working properly and they are causing hell lot of pain and itchiness on the ear.I am reducing the rating from 4 stars to 1. Also I have applied for replacement.I really wish, somehow refund would be possible, as I don't want to waste 500 Rs."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Best. Using it since a month now!,5.0,"Best for me. If you fall in the middle category, where you don't want the best of the best earphones but also don't want the worst, go for this.Earbuds don't fall from my ears! My ears are kind of weird. Like Amir Khan (lol). (I have had a bad past with regards to this with my previous earphones).Bass is gooood. Sound clarity is also good. Some experts may say the vocal clarity is overshadowed by the bass, but I am okay with that.The clip is very useful in preventing the earbuds from falling. I clip it on my collar.The cable strength is also good. The cable got pulled twice by accident, and nothing happened to the earphones.The mic is also good. I use these earphones to listen to music, watch YouTube, calling, send and listen to voice notes, etc.Best. Cheers!Don't think too much :)"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Horrible sound.,1.0,Worst sound. It's like someone is poking you with a needle in your ears. Great design but no use. Got ear pain within two days of using this. Sharp painful sound at higher volumes. Somehow managing with low volumes. Bad bass. Worthless.
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Warranty issue.....How to return ?,3.0,"One side of these ear plugs stopped working within 3 weeks. The number that was written/given for the warranty related issues is not correct. No other way to contact the seller....Hope they will react now after seeing  my review.... Otherwise good product, only if it worked properly for some time."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Unhappy with the poor built up quality,1.0,by look and sound it was goodBut it has a very poor quality of wire which has been a problem of BOat.This is my 3rd boat earphone which one side is stopped working... replacement earphone quality is also of same quality usually lasts for 1-2 months only.it has zero noise cancellation dont think about taking calls using it
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),"bass is fantastic, but pain starts in ear after 1-2 hours of continuous use",2.0,"bass is better than boat 225, sennheiser cx180, sennheiser cx213 and sony mdr EX15AP. also tangle free, at this price of 549, it is worth of money.drawback is your you cant use this product for long time........"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Just close your eyes and go for it.  You dont regret.,5.0,"Earler ive used jbl, philips, sony and mi earphones. But this stands top of all.  And i personally call it baap of all in this price segment.  Even 1500 segment of jbl and sanheiser.  The moment i plugged in these earphones and played muqabla.. I just stood up from my chair.... As well as all my hair on hands.. What else i can say... Just go for it.. Please dont search for anything else and waste your time.  Ive done a lot of review. Sent back few earphones coz of some problem.  But this is all rounder."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Don't buy..,1.0,"Don't buy this model of Boat..It is useless, no sound quality, no bass..I really wonder how customers are giving wrong feedback..I have been using Boat products for almost 4 years now, but this one is a waste.. Don't buy this model of boat earphone.Aside, shame to the seller....he is sending used product...the package was opened and used.."
boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),Great product....Go for it,4.0,"Great product...Great sound ....And got it on deal price 449...In this price, they give volume control with great sound quality. ....must buy product"
